0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0.57478
0.001,4.578
0.002,11.777
0.003,9.4133
0.004,15.797
0.005,17.911
0.006,21.528
0.007,17.071
0.008,21.136
0.009,24.103
0.01,30.298
0.011,26.086
0.012,31.913
0.013,35.079
0.014,39.946
0.015,35.796
0.016,43.976
0.017,40.141
0.018,47.266
0.019,49.304
0.02,46.525
0.021,51.771
0.022,51.69
0.023,53.737
0.024,60.116
0.025,54.74
0.026,63.169
0.027,61.726
0.028,60.846
0.029,65.241
0.03,65.755
0.031,67.221
0.032,66.743
0.033,66.866
0.034,67.271
0.035,70.18
0.036,77.029
0.037,73.287
0.038,75.899
0.039,73.56
0.04,80.538
0.041,73.839
0.042,81.061
0.043,81.974
0.044,76.668
0.045,81.422
0.046,79.97
0.047,81.407
0.048,83.399
0.049,83.548
0.05,76.842
0.051,78.898
0.052,81.699
0.053,81.607
0.054,82.593
0.055,80.065
0.056,81.17
0.057,81.661
0.058,80.352
0.059,76.28
0.06,79.842
0.061,79.696
0.062,74.023
0.063,71.435
0.064,71.19
0.065,69.977
0.066,70.525
0.067,71.556
0.068,72.041
0.069,67.109
0.07,62.275
0.071,62.553
0.072,60.198
0.073,62.872
0.074,59.835
0.075,60.521
0.076,55.244
0.077,50.981
0.078,52.391
0.079,51.913
0.08,46.847
0.081,44.816
0.082,44.962
0.083,40.777
0.084,43.513
0.085,35.859
0.086,38.062
0.087,31.219
0.088,34.614
0.089,29.931
0.09,25.239
0.091,22.33
0.092,25.885
0.093,19.649
0.094,19.931
0.095,14.231
0.096,16.915
0.097,13.662
0.098,11.862
0.099,7.8498
0.1,3.6412
0.101,0.56943
0.102,-1.0218
0.103,0.12985
0.104,-8.0746
0.105,-5.7899
0.106,-12.7
0.107,-9.6277
0.108,-17.887
0.109,-15.861
0.11,-21.656
0.111,-25.742
0.112,-27.389
0.113,-28.546
0.114,-28.043
0.115,-30.832
0.116,-32.104
0.117,-32.671
0.118,-39.223
0.119,-37.184
0.12,-44.61
0.121,-46.547
0.122,-41.742
0.123,-43.468
0.124,-51.166
0.125,-47.952
0.126,-54.7
0.127,-52.864
0.128,-56.661
0.129,-58.793
0.13,-56.435
0.131,-57.416
0.132,-63.94
0.133,-61.98
0.134,-60.402
0.135,-66.804
0.136,-65.331
0.137,-65.77
0.138,-64.95
0.139,-67.789
0.14,-70.152
0.141,-73.592
0.142,-72.084
0.143,-68.065
0.144,-71.275
0.145,-69.068
0.146,-73.723
0.147,-68.758
0.148,-74.693
0.149,-74.525
0.15,-74.636
0.151,-76.032
0.152,-74.129
0.153,-70.909
0.154,-74.766
0.155,-73.856
0.156,-73.814
